review_rating,review_body,Cleaned_Review
1,"They originally shipped me the wrong color. I let them know and they sent me the correct one, no problem. I am very happy with the size, color, ease of zipping, and number of pockets.",originally shipped wrong color let know sent correct one problem happy size color ease zipping number pockets
1,It was very nice looks and feel. It is very practical and durables. It did survived international trip made it well.,nice looks feel practical durables survived international trip made well
1,"I travel frequently and have ordered several styles of cosmetics pouches, hanging bags, etc. to find the best solution for me. Finally found the one! This holds brushes, skincare and makeup, and I love the zipper pocket and smaller side pockets. I keep this on my vanity for everyday use as well. Don’t hesitate to order. Ordered pink and color is great.",travel frequently ordered several styles cosmetics pouches hanging bags et find best solution finally found one holds brushes skincare makeup love zipper pocket smaller side pockets keep vanity everyday use well hesitate order ordered pink color great
0,I have the bag in camel and use it as a daily travel bag - it’s been fully loaded to max capacity for two years now and holding up very well.Just got my husband a black one to use as his toiletries travel bag - he really likes it,bag camel use daily travel bag fully loaded man capacity two years holding well got husband black one use toiletries travel bag really likes
1,"I really like this makeup bag. When it's open, I can see everything, I can more easily find what I'm looking for, and am more inclined to use all my products more often. I like the way the bag stays open, making it easier to find what I'm looking for. Protects makeup and helps keep it organized. Smooth zipper, handle is comfortable to hold.I have no complaints about this great bag. The makeup bag is a decent size, not too big or too small to take up too much space on my side. Fast shipping and well packaged. Looks as I expected.",really like makeup bag open see everything easily find looking inclined use products often like way bag stays open making easier find looking protects makeup helps keep organized smooth zipper handle comfortable hold complaints great bag makeup bag decent size big small take much space side fast shipping well packaged looks expected
1,"Great multipurpose bag!!! This one can be used as more than a makeup bag, you can put anything you want, especially the compartments in the bag are better than any makeup bag I have ever bought, it will not clutter your things!!! I love it! Great value for style and quality, bigger than I thought it could hold a lot of stuff, but doesn't take up much space when folded up and carried out the door, all other toiletry bags I've looked at are much more expensive. Buy them you will not be disappointed, I will probably order more. For the price, all I can say is great value for money!!!",great multipurpose bag one used makeup bag put anything want especially compartments bag better makeup bag ever bought clutter things love great value style quality bigger thought could hold lot stuff take much space folded carried door toiletry bags looked much expensive buy disappointed probably order price say great value money
1,Perfect size for all your travel needs.,perfect size travel needs
1,A lot fits in it. I love it.,lot fits love
1,This holds so much stuff! I was pleasantly surprised at what all I could fit. Color is beautiful too!,holds much stuff pleasantly surprised could fit color beautiful
0,I use this makeup bag as my permanent makeup bag as well as travel bag. It is very nice and convenient to zip it up and take it with you. I searched to find the best price and value and this definitely fit my needs! I haven’t tried cleaning the inside but the outside wipes down nicely.,use makeup bag permanent makeup bag well travel bag nice convenient zip take searched find best price value definitely fit needs tried cleaning inside outside wipes nicely
1,Very convenient and handy. From everyday packaing use to that vacation. Love how handy and reuseable they are.,convenient handy everyday packing use vacation love handy reusable
1,the fact that it completely opens up so you can see what's inside the bag without taking everything out is just what I was looking for. Good product.,fact completely opens see inside bag without taking everything looking good product
0,"i like the color and shape of the bag but the middle of the bag doesn’t come up far enough so when you close it, all of the products you put in it on the side that’s closest to the top falls into the other compartment. the pockets are very loose too so i feel that anything you put in them will also fall out.",like color shape bag middle bag come far enough close products put side closest top falls compartment pockets loose feel anything put also fall
0,This is a great bag but was hoping it would be larger. Hard to zip close.,great bag hoping would larger hard zip close
1,The media could not be loaded.I love the color the quality and the size,media could loaded love color quality size
1,"Great buy - I got a lot of compliments on this Makeup bag, I made them work without too much trouble.Its bag is made of a good material and is definitely worth the money! This makeup bag worked out great. Good size and I like the pockets for brushes plus the additional smaller makeup bag to put inside for hard to find items. I can hold all my cosmetics and skin care products, the partition is obvious, I can put the cosmetics and skin care products separately, and they will not be messed up.",great buy got lot compliments makeup bag made work without much trouble bag made good material definitely worth money makeup bag worked great good size like pockets brushes plus additional smaller makeup bag put inside hard find items hold cosmetics skin care products partition obvious put cosmetics skin care products separately messed
1,Opens wide for easy access. Very cute and vivid colors.,opens wide easy access cute vivid colors
1,"Good quality and came quickly.I am a really-orderer as the design is nice for travel.When you unzip, it opens completely so you can see everything.",good quality came quickly really orderer design nice travel unzip opens completely see everything
0,I love hos much this bag holds and allow of the pockets it has!Great for Travel,love hos much bag holds allow pockets great travel
1,"Good size, light weight and held up really well carrying all of my make up especially when I was traveling around Asia for ~3 months! Did not take up so much space which I love and it’s just good on the go!",good size light weight held really well carrying make especially traveling around aria months take much space love good go
1,I bought this for my teenage daughter. It holds alot of make up and various sized make up brushes and skin care products. I bought the cream colored one and it's a really pretty color. Does not look cheap at all. I will be buying myself one now.,bought teenage daughter holds lot make various sized make brushes skin care products bought cream colored one really pretty color look cheap buying one
0,"It’s okay, not as large as I’d like and the middle portion is pretty cheaply made. You can probably find a better one elsewhere.",okay large would like middle portion pretty cheaply made probably find better one elsewhere
0,The color is super cute just not what I thought I was buying!,color super cute thought buying
1,I’ve taken several trips with this bag! It’s kept all my items organized and seems to be the perfect amount of compartments! I used one side for makeup and the other for light toiletries!,taken several trips bag kept items organized seems perfect amount compartments used one side makeup light toiletries
1,"His make up bag was exactly what I was looking for. The number of compartments helps me organize my supplies so much better. When zipped, it becomes more compact than you think would be able to fit. I will be buying for my daughters for all of their beauty supplies!",make bag exactly looking number compartments helps organize supplies much better zipped becomes compact think would able fit buying daughters beauty supplies
1,I got this as a gift for my budding ballerino.It's solid and easy to pack just a bit small for all his stage makeup.The dividers are a definite plus.,got gift budding ballerina solid easy pack bit small stage makeup dividers definite plus
1,This is just perfect for holding my daily cosmetics...it has plenty of room and I love how when you open it you see everything and don't need to dig for anything...The design is amazing. Plus the softness helps maculate it to traveling I would presume. I bought this for my summer trip.,perfect holding daily cosmetics plenty room love open see everything need dig anything design amazing plus softness helps maculate traveling would presume bought summer trip
1,Wish it had a tag on both ends so that you can hold it when zipping and unzipping.,wish tag ends hold zipping unzipping
1,"Good materials, pretty color. Very spacious inside. Perfect for my carry-on.",good materials pretty color spacious inside perfect carry
0,"this is a cute bag and sturdy material on the outside however the zipper tan is cheap and came off when I opened it and then everything I placed in the pockets just immediately fall out when u close the bag so every time u open the bag everything is all in the center mixed together , so disappointed",cute bag sturdy material outside however zipper tan cheap came opened everything placed pockets immediately fall close bag every time open bag everything center mixed together disappointed
0,the material looks really junky and flimsy,material looks really junky flimsy
1,I put my crochet hat project into this make up bag and crochet accessories and gadgets n crochet hooks in the small compartment I love it and so convenient love it when I crochet in the cafe …,put crochet hat project make bag crochet accessories gadgets n crochet hooks small compartment love convenient love crochet came
0,"Cute dupe makeup bag, its a nice size for travel or special occasion. Not quite big enough for everyday use for me but very cute and nice quality. Would make a cute gift too!",cute dupe makeup bag nice size travel special occasion quite big enough everyday use cute nice quality would make cute gift
1,"We can't get enough of these cute chenille letter bags in our household.I got a couple for my teen daughter and now all her friends want them, too.So, we've stocked up on some and have been giving them as gifts here and there.Every girl so far has loved her, as they're very in style right now.Sturdy.",get enough cute chenille letter bags household got couple teen daughter friends want stocked giving gifts every girl far loved style right sturdy
1,This is a good travel bag. It is a good size and fits a good amount of stuff. It is a nice color and I like the texture of the material. I also like the way it opens up so that you don't have to dig for everything.,good travel bag good size fits good amount stuff nice color like texture material also like way opens dig everything
1,"I really enjoy this product. It is perfect for traveling, and just in general makeup storage. I love the feeling of the material, and more importantly the color. I would definitely recommend this product. It could also serve as a super cute gift for a friend/relative!",really enjoy product perfect traveling general makeup storage love feeling material importantly color would definitely recommend product could also serve super cute gift friend relative
1,Fit a lot of things for my 12 year old. Lots of room and such a cute color.,fit lot things year old lots room cute color
1,"I wasn't too sure about what the bag would hold. I have added all my ""stuff"" like accessories for travel and it fits like a charm. The items I put inside are the travel size toothpaste brush soaps shampoos etc. It is very compact and easy to clean. no problems encountered so far.",sure bag would hold added stuff like accessories travel fits like charm items put inside travel size toothpaste brush soaps shampoos et compact easy clean problems encountered far
1,This holds a lot and I like that I can put all my everyday makeup in once bag now. Zips well and compartments are great to have. I really like these bags and the quality of them,holds lot like put everyday makeup bag zips well compartments great really like bags quality
1,"I really like that this toiletry bag opens flat so that you can see and have access to everything you packed.The inner zippered compartment is convenient as are the pockets on each side.There was a mild plasticky odor when it first arrived, but it has dissipated after airing out.It's an attractive design as well.",really like toiletry bag opens flat see access everything packed inner zippered compartment convenient pockets side mild plastic odor first arrived dissipated airing attractive design well
1,LOVE THIS BAGlove how it opens up 100%super easy to use and store all your stuffthe color is great the size is greatzipper will last a long time as well,love glove opens super easy use store stuffthe color great size greatzipper last long time well
1,"I saw this trend bag everywhere and I requested it! In looooooive with it!Great color, material and design. It holds everything that I need and do not mess up my things.GREAT!!!",saw trend bag everywhere requested looooooive great color material design holds everything need mess things great
1,I love that it fits all my essentials. I’ve had it for months now. With good care it lasts a good time.,love fits essentials months good care lasts good time
1,"This make up bag is awesome. It is a medium size not too big and not too small and its size is perfect to fit in a suitcase. I'm particularly happy with the height and width. Perfect for travel or everyday use. It is well finished and seems very sturdy. The zipper is golden color and very smooth. It opens wide and has a small zipper pouch for make up brushes or small items like lip gloss, mascara or pencils. It also has a couple side pouches to organize everything nicely. The material it's made of isn't cloth, so seems to repel water and it looks very high end. Love this make up bag!!",make bag awesome medium size big small size perfect fit suitcase particularly happy height width perfect travel everyday use well finished seems sturdy zipper golden color smooth opens wide small zipper pouch make brushes small items like lip gloss mascara pencils also couple side pouches organize everything nicely material made cloth seems repel water looks high end love make bag
0,This bag took a long time to be delivered. When I opened it it was creased and wrinkled (the material) bought for gift . Not giving as gift will donate.,bag took long time delivered opened creased wrinkled materialconfusion bought gift giving gift donate
1,Beautiful! Great quality. Fits so much without being too bulky. Has 2 big compartments with some little pockets inside. Perfect for my needs. Love it!,beautiful great quality fits much without bulky big compartments little pockets inside perfect needs love
1,"Exactly what I needed. A bag that opens up completely, but still has some compartments for organizing. This is not a luxury bag, but it is exactly as described and looks nice.",exactly needed bag opens completely still compartments organizing luxury bag exactly described looks nice
0,"It's a good quality and very spacious cool travel bag. Of course it depends how much do you usually take to travel, but it definitely holds a lot of travel/ cosmetic stuff. If you are looking for something decent quality and looking good and spacious bag, this one worth buying.",good quality spacious cool travel bag course depends much usually take travel definitely holds lot travel cosmetic stuff looking something decent quality looking good spacious bag one worth buying
1,Used this for the first time for a weekend trip. I liked that it opened right up and I could easily see everything in my bag. Itwas easy to use and had plenty of room for my makeup and toiletries. Now I know it’ll be a perfect size for a longer trip. Packs well into my bag too. Material is good and zipper feels sturdy.,used first time weekend trip liked opened right could easily see everything bag twas easy use plenty room makeup toiletries know perfect size longer trip packs well bag material good zipper feels sturdy
1,"Perfect to keep daily skincare in or to use as a travel makeup bag to through in your tote! Easy zipper, light weight, beautiful vibrant color, good quality, has no odor & is the cutest item to serve my purposes!",perfect keep daily skincare use travel makeup bag tote easy zipper light weight beautiful vibrant color good quality odor cutest item serve purposes
1,Great makeup bag or travel bag .. ton of room and zippers allow it to open almost all the way.,great makeup bag travel bag ton room zippers allow open almost way
1,"Durable, squishy enough to fit snugly into suitcase but still protects items inside. Can fit an amazing amount of things in this. I call in my Mary Poppins travel kit!",durable squishy enough fit snugly suitcase still protects items inside fit amazing amount things call many popping travel kit
0,"Material is thick and sturdy. Wipeable. Pockets are great. But the off center zipper is a terrible design. Gets stuck and its hard to close up and always opens up on the ends, dropping out my make-up and brushes.",material thick sturdy sizeable pockets great center zipper terrible design gets stuck hard close always opens ends dropping make brushes
1,I’ve been looking for the perfect cosmetics bag that works at home and can be snatched up easily for on the go and this is it! I love how it opens wide showing all contents and closed its compact with a handle. I got the white with brown trim so it looks nice if I leave it on my counter. I never thought I’d write such a glowing review of a cosmetic bag but here I am!!!,looking perfect cosmetics bag works home snatched easily go love opens wide showing contents closed compact handle got white brown trim looks nice leave counter never thought would write glowing review cosmetic bag
1,"Got this bag when I was diagnosed with gestational diabetes and needed something to put my lancets and alcohol swabs and the glucose monitor in. Works perfectly for what I needed it for and can definitely imagine myself re-using it once this is over for makeup or other things. Cute, well-made, and durable!",got bag diagnosed gestational diabetes needed something put lancets alcohol swabs glucose monitor works perfectly needed definitely imagine using makeup things cute well made durable
1,"Needed something to just carry the basics. Mascara, lotion, my brushes, body spray and some color for my cheeks. All the essentials.This bag fit nicely in my suitcase and the size is perfect.",needed something carry basics mascara lotion brushes body spray color cheeks essentials bag fit nicely suitcase size perfect
1,"I ordered this for my summer vacation and I really loved it. All my makeup and skincare routine stayed organized and easy to access, which wasn't the case before.💯Recommended",ordered summer vacation really loved makeup skincare routine stayed organized easy access case recommended
1,Perfect bag that holds all of my makeup.,perfect bag holds makeup
0,"Its cute and seems well made so i expect it to be durable.However, its not exactly large.I would qualify it as medium sized.",cute seems well made expect durable however exactly large would qualify medium sized
1,I use this everyday and it holds up really good and it is very nice to throw everything in it and take it anywhere!,use everyday holds really good nice throw everything take anywhere
1,"This bag is sturdy, good quality and the material is thick and the zippers strong. It is large so it will definitely hold all my makeup and more when traveling. I highly recommend this makeup bag!",bag sturdy good quality material thick zippers strong large definitely hold makeup traveling highly recommend makeup bag
0,"Everything I needed in a cosmetics bag, but I was disappointed in the measurements. The description said it was as tall as an iphone 15, but it wasn't.",everything needed cosmetics bag disappointed measurements description said tall phone
1,Love the quality and it’s very pretty as well.,love quality pretty well
1,Cute and lots of room and I love it I can see my stuff in it up right and don’t have to dig for anything.,cute lots room love see stuff right dig anything
1,"Looks expensive, opens wide, fits lots of stuff and has great compartments. Worth every penny!",looks expensive opens wide fits lots stuff great compartments worth every penny
1,"El tamaño que esperaba, color y material excelente",el mama due esperaba color material excellent
0,"Cute, well crafted but hard to close.",cute well crafted hard close
0,I love the fact the bag opens up to expose all of your toiletries.It’s so nice to leave everything in its place in the bag.,love fact bag opens expose toiletries nice leave everything place bag
1,"So far I like this bag very much. Opens toflat so you can see everything. Has enough pockets etc to put compacts, bottles or whatever. Seems like it will hold up well.",far like bag much opens flat see everything enough pockets et put compacts bottles whatever seems like hold well
1,These travel accessory bags are a girl or guy travel necessity! They hold so much. Strong zipper and items stay secure.,travel accessory bags girl guy travel necessity hold much strong zipper items stay secure
1,Bag of pretty big!! fits all mymakeup :),bag pretty big fits makeup happy face smiley
1,The dangle zipper allows the bag to open up wide.Nice quality. The beige/camel color is nice.Ordered 3– will keep one and gift the rest.,dangle zipper allows bag open wide nice quality beige camel color nice ordered keep one gift rest
1,I love this makeup bag,love makeup bag
1,Love the way the zipper opens the bag up to get your items init. Love the elastic pouches and middle pouch.,love way zipper opens bag get items unit love elastic pouches middle pouch
1,It is really compact and nice,really compact nice
1,I'm a makeup person with tons of eyeshadow palettes and it's hard to travel with them. I was able to fit 12-16 pan palettes in here and all my other makeup. I will probably be buying another one soon,makeup person tons eyeshadow palettes hard travel able fit pan palettes makeup probably buying another one soon
0,I really like this bag! there is a lot more room than you'd think just looking at it. I was going to buy a luxury brand and discovered this instead. I'm glad I didn't spend the high $ amount - this has been a great solve for what I need. It washes off really well and is easy to clean.,really like bag lot room would think looking going buy luxury brand discovered instead glad spend high amount great solve need washes really well easy clean
1,Looks and feels high end! Fits a lot of travelProducts nicely. Feels very well made and zipper plus hardware are high quality! Wasn’t sure how it would be given the inexpensive price but it’s impressively well made!,looks feels high end fits lot travelproducts nicely feels well made zipper plus hardware high quality sure would given inexpensive price impressively well made
0,"When he saw it, hubby said I could never fit all my toiletries in the bag.Till now, I carried all my junk in two 1 gallon zip bags but as you can see it did indeed all fit in the large capacity Telena make up bag.Now I don't have any cosmetics, just hair products and personal hygiene items and it all fits.The bag opens nicely for easy access but it takes a little finesse to start the zipper from wide open, which is why I give four stars rather than five.Overall, it's just what I wanted.",saw hubby said could never fit toiletries bag till carried junk two gallon zip bags see indeed fit large capacity telega make bag cosmetics hair products personal hygiene items fits bag opens nicely easy access takes little finesse start zipper wide open give four stars rather five overall wanted
1,Love this makeup bag! It fits a lot more than I was expecting.,love makeup bag fits lot expecting
1,Holds all my beauty products with room to spare.,holds beauty products room spare
1,I like it - it looks amazon and all my stuff fits in very well. Quality is better than I expected.,like looks amazon stuff fits well quality better expected
0,Great to throw in a suitcase or weekender- holds every thing I need - plenty of room,great throw suitcase weekender holds every thing need plenty room
1,Nice looking and holds a good amount of makeup.,nice looking holds good amount makeup
0,"I liked this travel bag.I could have just been a little bit taller to accommodate some of my larger items but otherwise holds everything, toiletry wise, I needed for a two week trip abroad. Definitely perfect for travel.",liked travel bag could little bit taller accommodate larger items otherwise holds everything toiletry wise needed two week trip abroad definitely perfect travel
1,Fits a lot! Great for traveling with makeup & skincare.,fits lot great traveling makeup skincare
1,Love it! Recommend it,love recommend
0,I was able to fit most of my facial products and makeup items in this bagLoved the separate compartment for the brushes. The only complaint I have is the the elastic on the side pockets are a bit loose. But definitely not a deal breaker.,able fit facial products makeup items beloved separate compartment brushes complaint elastic side pockets bit loose definitely deal breaker
1,Perfect fit for sunscreen,perfect fit sunscreen
1,"Travel bag , everything fit great",travel bag everything fit great
1,"Best makeup bag! It’s the perfect size, and opens up wide so you don’t have to shuffle around a bag. I’ve only had it for a few weeks, but it feels like amazing quality so far. Definitely recommend!",best makeup bag perfect size opens wide shuffle around bag weeks feels like amazing quality far definitely recommend
1,"Love it !Cute, spaciousHolds a lotof makeup😄",love cute spaciousholds look makeup
1,This makeup bag is wonderful! Spacious for all my bigger items folds so nicely. Just what I was looking for!,makeup bag wonderful spacious bigger items folds nicely looking
1,This bag looks so beautiful and has tons of room ! It fits so nicely on my carry on and the color is perfect,bag looks beautiful tons room fits nicely carry color perfect
0,Sturdy project.The angle zip and fold out does take up some counter space but it works out.,sturdy project angle zip fold take counter space works
0,"Nice colors, strong zipper & easy to clean",nice colors strong zipper easy clean
1,"This makeup carryall is perfect for holding all of my makeup and moisturizers at home, and I’ve also used it as a travel case for same. Super in both capacities. I love the pale pink color option I chose. Everything about it is as advertised. It’s durable. Perfect in every way.",makeup carryall perfect holding makeup moisturizers home also used travel case super capacities love pale pink color option chose everything advertised durable perfect every way
